,user,eigen_centrality,page_centrality,engagement_comments,engagement_likes,authenticity,interaction
146,la_vie_de_tata_carine,0.0,6.863336139878231e-06,0.0011809956795166808,0.013930081894665346,0.6561577001521136,0.07572650238309632
147,naturalia_magasins_bio,0.04093264957317161,0.0,0.0001762384361583488,329.3006224544411,0.7092853220646517,0.0032830826569555586
148,maisonmargaret,0.0409326407784538,0.0,9.895754167299995e-05,1181.1363925070714,0.6082342548822997,0.004964713127357895
149,songe_lab_,0.0,6.856184255949189e-06,0.0012912797348004995,0.17261103463199412,0.6399142911712745,0.029527792199220148
150,drhauschkafrance,0.04093263967911407,0.0,5.787438942519157e-05,0.9181349406576146,0.6791546943945893,0.008702554137072849
151,morganesezalory,0.0,6.8473110166474845e-06,0.00033216303483671675,0.004461112827254588,0.6514050040586354,0.027267807945177865
152,absolution_cosmetics,0.04093263857977435,0.0,0.0012211898217458924,0.12470672394124076,0.1943429785608557,0.011256594700075546
153,c.lairdutemps,0.0,6.834094696815488e-06,0.0015226394115046983,0.0753370071732443,0.5028742982653598,0.05328590710407495
154,karethic,0.04093263748043461,6.0631360041603325e-06,0.0075779883255676994,0.21189689858137437,0.6156899312786722,0.027599238641965562
155,laurette.and.co,0.0,6.83245000165947e-06,0.02243882016253448,0.0037685598607440393,0.5829692498686913,0.3069137133538107
156,sweeties.by.aude.d,0.040932637480434596,0.0,0.004036865901525314,0.08696396468844718,0.6231437711884641,0.01914025640297423
157,lucilewoodward,0.0,6.827561248965411e-06,8.386844673816518e-05,0.09414005008953098,0.4828234760456253,0.004329664387357605
158,suncooparis,0.04093263638109487,6.008637872858759e-06,0.0004455545116849853,0.06567045399465106,0.5756995177386239,0.004541196079785491
159,marizoda,0.0109678963542403,6.821299246323744e-06,0.015562208658093688,0.06252758598166948,0.4720192904550447,0.10518814269977536
160,biotyfullbox,0.04093263418241542,0.0,0.03739726297024247,0.28690345453835475,0.6851692689681517,0.02268965190341287
161,theotherartofliving,0.0,6.806395234716604e-06,0.0036814683484898583,0.13890021415034992,0.45646654472395787,0.012653355285251269
162,box_evidence,0.040932630884396234,0.0,0.00573513407367032,0.2775281227397364,0.582551449171561,0.01945158826963513
163,jho.fr,0.040932630884396234,0.0,0.001600575765737523,0.021122578518196083,0.5161509812347802,0.036888619625792526
164,waekura,0.02193573986688429,6.79787014595135e-06,3.2436780714387655e-05,0.15907596933103274,0.6156006780308457,0.005589179598440441
165,_lavieclaire,0.040932629785056504,0.0,0.000981629504978264,0.22314430570222243,0.5927696605070908,0.014569554003026149
166,tokyobanhbao,0.0,6.790425029880732e-06,0.00024300905114487515,0.013176500855044562,0.677759504736299,0.018322607880364473
167,easyjet_fr,0.040932629785056504,0.0,0.001325685149776928,0.08297464287886729,0.5312574607267345,0.018296557688849
168,zadigetvoltaire,0.0,6.786774642444344e-06,4.136739452553404e-06,2.427024878078192,0.6999067816106923,0.0030157023598885373
169,nudebynaturefr,0.040932628685716774,0.0,0.0010995517212213483,0.15443681866308606,0.5660184787279761,0.013123226279304814
170,merciparis,0.0,6.784180199408111e-06,0.0008662024855615681,0.018729159635959083,0.48313278899871087,0.0100017850792631
171,journaldesfemmes,0.04093262758637704,0.0,1.998135637476416e-05,0.2668666191004912,0.6361097289133162,0.0019740765754123124
